c0.01,c0.3,c0.6,c0.9,c1.2,c1.5,index
0.583,0.761,0.843,0.89,0.937,0.955,0.5
0.566,0.705,0.794,0.855,0.869,0.909,1.0
0.578,0.655,0.73,0.771,0.812,0.836,2.0
0.556,0.637,0.726,0.762,0.784,0.829,3.0
0.534,0.633,0.697,0.729,0.761,0.765,4.0
0.545,0.615,0.668,0.719,0.746,0.764,5.0
