c0.01,c0.3,c0.6,c0.9,c1.2,c1.5,index
0.559,0.723,0.867,0.95,0.983,0.994,0.5
0.478,0.714,0.82,0.903,0.939,0.967,1.0
0.422,0.617,0.77,0.833,0.888,0.926,2.0
0.473,0.587,0.722,0.79,0.834,0.864,3.0
0.469,0.626,0.643,0.768,0.827,0.845,4.0
0.473,0.621,0.688,0.746,0.802,0.848,5.0
