c0.01,c0.3,c0.6,c0.9,c1.2,c1.5,index
0.305,0.518,0.627,0.712,0.79,0.849,1
0.4,0.564,0.677,0.744,0.809,0.88,2
0.428,0.595,0.701,0.75,0.849,0.87,3
0.457,0.636,0.739,0.806,0.856,0.88,4
0.494,0.634,0.762,0.815,0.866,0.895,5
