c0.01,c0.3,c0.6,c0.9,c1.2,c1.5,index
0.527,0.726,0.93,0.988,0.998,1.0,1
0.219,0.201,0.064,0.012,0.002,0.0,2
0.121,0.045,0.006,0.0,0.0,0.0,3
0.06,0.024,0.0,0.0,0.0,0.0,4
0.037,0.002,0.0,0.0,0.0,0.0,5
0.022,0.002,0.0,0.0,0.0,0.0,6
0.01,0.0,0.0,0.0,0.0,0.0,7
0.004,0.0,0.0,0.0,0.0,0.0,8
0.0,0.0,0.0,0.0,0.0,0.0,9
0.0,0.0,0.0,0.0,0.0,0.0,10
