c0.01,c0.3,c0.6,c0.9,c1.2,c1.5,index
0.538,0.735,0.842,0.928,0.95,0.974,0.5
0.525,0.715,0.782,0.862,0.893,0.932,1.0
0.567,0.63,0.756,0.783,0.842,0.859,2.0
0.541,0.64,0.706,0.749,0.824,0.818,3.0
0.54,0.631,0.668,0.711,0.783,0.793,4.0
0.559,0.571,0.684,0.717,0.737,0.772,5.0
